Gender,Age,TeachingExp,EmotionalLabor,SurfaceActing,DeepActing,EmotionalExpression,CareerCommitment,SocialSupport,SubjectiveSupport,ObjectiveSupport,SupportUtilization,Wellbeing,HealthWorries,EnergyLevel,LifeSatisfaction,Depressed,EmotionalBehaviorControl,Relaxed
2,33,8,34,3,16,15,15,41,26,7,8,67,13,11,8,10,9,16
2,28,3,41,12,17,12,21,43,26,9,8,65,7,17,6,17,9,9
2,36,5,35,4,17,14,28,50,30,12,8,65,4,17,6,15,10,13
2,39,8,42,9,19,14,19,34,22,6,6,61,6,16,4,13,11,11
2,30,12,38,13,12,13,16,44,26,9,9,69,10,13,5,15,9,17
2,27,3,39,11,16,12,26,31,16,8,7,78,7,17,6,17,12,19
2,32,7,37,10,15,12,21,31,20,7,4,53,12,9,5,8,8,11
2,45,17,39,11,18,10,21,46,29,9,8,68,10,13,6,12,13,14
2,26,3,39,8,18,13,17,23,13,3,7,58,7,11,5,13,9,13
2,25,5,47,14,19,14,27,30,19,5,6,79,10,14,7,19,10,19
2,26,6,43,10,19,14,26,26,10,8,8,74,6,16,6,18,14,14
2,30,1,36,9,15,12,18,44,25,8,11,86,5,21,8,20,12,20
2,27,7,50,15,20,15,35,45,32,3,10,71,5,22,11,9,13,11
2,40,20,46,13,18,15,30,46,26,11,9,76,7,18,7,17,11,16
2,30,1,44,11,18,15,24,38,19,11,8,66,10,11,5,11,13,16
2,32,2,38,6,19,13,32,46,27,10,9,79,10,19,6,16,13,15
2,24,4,38,11,16,11,21,36,20,9,7,78,5,23,7,16,13,14
2,43,7,42,10,18,14,28,47,29,9,9,67,5,16,6,13,11,16
2,23,1,43,12,17,14,27,39,22,9,8,92,9,23,7,18,14,21
2,53,33,44,13,19,12,33,50,26,14,10,76,5,22,6,21,10,12
2,33,5,39,12,15,12,21,36,20,8,8,67,7,14,5,14,11,16
2,22,0,38,9,19,10,23,29,12,9,8,83,9,20,4,17,14,19
2,25,3,37,6,18,13,21,34,17,8,9,60,6,15,5,11,12,11
2,28,1,47,14,20,13,27,45,26,9,10,79,13,15,7,13,13,18
2,37,10,41,12,16,13,26,47,26,12,9,77,7,16,9,16,12,17
2,49,13,42,9,18,15,33,38,22,9,7,78,11,16,6,14,13,18
2,30,7,40,10,17,13,26,33,21,5,7,87,7,16,9,18,14,23
2,36,15,40,8,20,12,35,34,26,5,3,82,2,16,7,21,12,24
2,25,6,49,14,20,15,35,53,30,13,10,77,3,21,9,18,11,15
2,28,1,32,6,17,9,26,47,26,10,11,71,5,16,7,16,12,15
2,39,2,43,8,20,15,32,56,32,14,10,103,7,24,8,22,17,25
2,24,4,31,8,14,9,21,36,19,9,8,71,7,15,6,13,11,19
2,25,1,39,12,15,12,28,44,28,6,10,69,10,15,6,12,10,16
2,27,5,44,14,18,12,27,53,28,13,12,86,5,23,10,19,13,16
